Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,26,-1.79039,1.05095,-1.76421,0.824765,0.303591,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873779,0.298638,40,39,39,NIE
,27,-0.275902,-0.206438,0.000481428,-0.00116227,1.25488e-06,9,8,TAK,0.000300653,-0.000432998,2.3809e-07,7,6,TAK,-1.78735e-06,-1.70386e-06,1.23378e-11,42,41,41,TAK
,28,1.94652,-0.477038,0.000420219,-0.0010145,9.56064e-07,17,16,TAK,nan,nan,nan,10000,10000,NIE,1.74755,-0.873774,0.298638,43,42,42,NIE
,29,-0.710983,-1.62598,0.000556242,-0.00134289,1.67518e-06,14,13,TAK,8.21526e-05,-0.000407994,1.46439e-07,9,9,TAK,-1.07054,0.535268,0.877362,48,47,47,NIE
,30,0.953021,1.93952,-0.000525874,0.00126957,1.49726e-06,14,13,TAK,-4.85453e-05,-0.00027286,9.2412e-08,11,10,TAK,1.07054,-0.535269,0.877362,49,48,48,NIE
,31,0.443106,0.536762,-0.000402096,0.000970745,8.75376e-07,12,11,TAK,-7.02214e-05,0.000219167,4.25061e-08,9,8,TAK,1.03258e-06,2.70095e-06,1.22165e-11,44,43,43,TAK
,32,1.22917,-1.63236,1.70084,-0.776069,0.315845,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,46,45,45,NIE
,33,-1.85288,-1.09648,-0.00036005,0.000869238,7.01878e-07,16,15,TAK,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,48,47,47,NIE
,34,0.631712,0.976307,-0.000455813,0.00110043,1.12488e-06,13,12,TAK,-3.79553e-05,0.000315036,9.01718e-08,9,8,TAK,1.07054,-0.535269,0.877362,47,46,46,NIE
,35,0.922415,-1.58151,1.87052,-0.776634,0.43288,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,46,45,45,NIE
